Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
IWM260311C00180000,3/6/2026  1:09 PM,180,71.32,71.51,75.26,0.00,0.00%,2,0,239.06%
IWM260311C00190000,3/6/2026  9:43 AM,190,60.97,61.52,65.27,0.00,0.00%,1,1,210.94%
IWM260311C00200000,3/6/2026  1:09 PM,200,51.32,51.52,55.27,0.00,0.00%,3,4,176.56%
IWM260311C00205000,3/5/2026  3:35 PM,205,51.73,46.52,50.27,0.00,0.00%,-,1,160.16%
IWM260311C00210000,3/9/2026  1:19 PM,210,38.63,41.52,45.27,0.00,0.00%,1,1,143.75%
IWM260311C00215000,3/10/2026  4:14 PM,215,38.45,36.52,40.27,-0.05,-0.13%,8,6,127.34%
IWM260311C00220000,3/10/2026  11:55 AM,220,36.18,31.52,35.27,7.52,26.24%,5,9,111.33%
IWM260311C00222500,3/10/2026  11:42 AM,222.5,34.09,29.02,32.77,-3.61,-9.58%,1,1,103.13%
IWM260311C00225000,3/10/2026  1:32 PM,225,32.43,26.52,30.27,-1.17,-3.48%,1,2,95.31%
IWM260311C00227500,3/6/2026  2:54 PM,227.5,24.55,24.32,27.78,0.00,0.00%,3,2,112.70%
IWM260311C00230000,3/9/2026  1:35 PM,230,18.46,21.53,25.28,0.00,0.00%,6,5,82.42%
IWM260311C00232500,3/10/2026  3:16 PM,232.5,21.58,19.04,22.79,3.17,17.22%,2,1,76.56%
IWM260311C00235000,3/10/2026  3:27 PM,235,18.60,16.55,20.31,-0.65,-3.38%,2,6,70.70%
IWM260311C00236000,3/6/2026  1:40 PM,236,16.13,15.55,19.30,0.00,0.00%,6,5,66.41%
IWM260311C00237000,3/9/2026  3:28 PM,237,16.72,14.56,18.31,0.00,0.00%,2,3,64.45%
IWM260311C00238000,3/10/2026  12:10 PM,238,16.19,13.57,17.32,5.30,48.67%,42,9,62.31%
IWM260311C00239000,3/10/2026  12:10 PM,239,16.87,12.58,16.33,2.00,13.45%,43,7,59.96%
IWM260311C00240000,3/10/2026  3:43 PM,240,13.91,11.60,15.35,0.02,0.14%,143,15,58.40%
IWM260311C00241000,3/10/2026  3:43 PM,241,12.92,10.63,14.38,-0.05,-0.39%,34,13,57.23%
