Date,Close,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type
1999-03-10,43.2932,,,,43.2932,43.0,30,0.0821917808219178,,0.03,call
1999-03-11,43.4977,0.004723605554683097,,,43.4977,43.0,30,0.0821917808219178,,0.03,call
1999-03-12,42.4471,-0.024153001193166546,,,42.4471,42.0,30,0.0821917808219178,,0.03,call
1999-03-15,43.6631,0.028647422320959626,,,43.6631,44.0,30,0.0821917808219178,,0.03,call
1999-03-16,44.0379,0.008583907235171218,,,44.0379,44.0,30,0.0821917808219178,,0.03,call
1999-03-17,43.7139,-0.007357299053769584,0.009717461402714678,,43.7139,44.0,30,0.0821917808219178,,0.03,call
1999-03-18,44.5647,0.019462916829658283,0.024530032622414488,,44.5647,45.0,30,0.0821917808219178,,0.03,call
1999-03-19,43.4281,-0.025504491222873793,0.023111119487550402,,43.4281,43.0,30,0.0821917808219178,,0.03,call
1999-03-22,42.8898,-0.012395200342635304,-0.017710606896899184,,42.8898,43.0,30,0.0821917808219178,,0.03,call
1999-03-23,41.3851,-0.03508293347136149,-0.06023902138839499,,41.3851,41.0,30,0.0821917808219178,,0.03,call
1999-03-24,42.7917,0.03398807783477631,-0.02109626457488356,,42.7917,43.0,30,0.0821917808219178,,0.03,call
1999-03-25,44.3473,0.03635284412631412,-0.004878300538318503,,44.3473,44.0,30,0.0821917808219178,,0.03,call
1999-03-26,43.8725,-0.010706401517115882,0.010233005818813146,,43.8725,44.0,30,0.0821917808219178,,0.03,call
1999-03-29,45.4663,0.03632799589720204,0.06007255804410372,,45.4663,45.0,30,0.0821917808219178,,0.03,call
1999-03-30,45.1441,-0.007086567413666756,0.09082979139835357,,45.1441,45.0,30,0.0821917808219178,,0.03,call
1999-03-31,44.4805,-0.014699595295952328,0.03946559730041099,,44.4805,44.0,30,0.0821917808219178,,0.03,call
1999-04-01,45.4152,0.021013702633738474,0.024080383698669383,,45.4152,45.0,30,0.0821917808219178,,0.03,call
1999-04-05,47.0561,0.03613107505857083,0.07256481850817709,,47.0561,47.0,30,0.0821917808219178,,0.03,call
1999-04-06,47.146,0.0019104855693523604,0.0369438463213414,,47.146,47.0,30,0.0821917808219178,,0.03,call
1999-04-07,46.6537,-0.01044203113731812,0.03343958568229288,,46.6537,47.0,30,0.0821917808219178,,0.03,call
1999-04-08,47.0285,0.00803366078145995,0.057283528737311906,0.3583958633762477,47.0285,47.0,30,0.0821917808219178,0.3583958633762477,0.03,call
1999-04-09,47.3124,0.006036764940408279,0.04177456005918723,0.3584425100478169,47.3124,47.0,30,0.0821917808219178,0.3584425100478169,0.03,call
1999-04-12,47.0,-0.0066029201646924385,-0.0011921939982276752,0.3450284921287417,47.0,47.0,30,0.0821917808219178,0.3450284921287417,0.03,call
1999-04-13,46.3679,-0.01344893617021281,-0.016504051245068596,0.3396117450242623,46.3679,46.0,30,0.0821917808219178,0.3396117450242623,0.03,call
1999-04-14,44.7798,-0.03424998759917952,-0.04016616045458343,0.36382114028496193,44.7798,45.0,30,0.0821917808219178,0.36382114028496193,0.03,call
1999-04-15,45.3877,0.013575317442239498,-0.034889481909905706,0.36496524244964895,45.3877,45.0,30,0.0821917808219178,0.36496524244964895,0.03,call
1999-04-16,44.0644,-0.029155476043069006,-0.06865007904904419,0.3750067397145824,44.0644,44.0,30,0.0821917808219178,0.3750067397145824,0.03,call
1999-04-19,41.9901,-0.04707428218698084,-0.10659361702127668,0.40114003440391643,41.9901,42.0,30,0.0821917808219178,0.40114003440391643,0.03,call
1999-04-20,42.9446,0.02273154862693838,-0.0738290929716463,0.40767064015367843,42.9446,43.0,30,0.0821917808219178,0.40767064015367843,0.03,call
1999-04-21,45.0608,0.04927744116838895,0.006275150849266886,0.4201343525638853,45.0608,45.0,30,0.0821917808219178,0.4201343525638853,0.03,call
1999-04-22,46.2895,0.027267602883215503,0.019868819085346878,0.4145385100040086,46.2895,46.0,30,0.0821917808219178,0.4145385100040086,0.03,call
1999-04-23,46.8925,0.01302671232136876,0.06418106226341447,0.3985474271433032,46.8925,47.0,30,0.0821917808219178,0.3985474271433032,0.03,call
1999-04-26,47.9763,0.023112438023138004,0.14256217536990867,0.40108761955962163,47.9763,48.0,30,0.0821917808219178,0.40108761955962163,0.03,call
1999-04-27,47.2438,-0.015267955219556373,0.10011037476190254,0.3888983197356233,47.2438,47.0,30,0.0821917808219178,0.3888983197356233,0.03,call
1999-04-28,45.6229,-0.03430926386107802,0.012474257003870282,0.40900936422379797,45.6229,46.0,30,0.0821917808219178,0.40900936422379797,0.03,call
1999-04-29,45.2479,-0.0082195564069798,-0.022501863273528433,0.4063816559995605,45.2479,45.0,30,0.0821917808219178,0.4063816559995605,0.03,call
1999-04-30,45.5453,0.006572680721094182,-0.028729540971370704,0.40021393783813186,45.5453,46.0,30,0.0821917808219178,0.40021393783813186,0.03,call
1999-05-03,45.3029,-0.005322173747894898,-0.05572334673578416,0.3776009735550319,45.3029,45.0,30,0.0821917808219178,0.3776009735550319,0.03,call
1999-05-04,44.59,-0.01573629944219901,-0.05617245014160577,0.3805918436710541,44.59,45.0,30,0.0821917808219178,0.3805918436710541,0.03,call
1999-05-05,45.9379,0.030228750840995744,0.006904427381863032,0.39640161939530716,45.9379,46.0,30,0.0821917808219178,0.39640161939530716,0.03,call
1999-05-06,44.275,-0.036198868472437806,-0.02150155034819301,0.41448946459087904,44.275,44.0,30,0.0821917808219178,0.41448946459087904,0.03,call
1999-05-07,44.9101,0.014344438170525109,-0.013946554309665293,0.4178442180205486,44.9101,45.0,30,0.0821917808219178,0.4178442180205486,0.03,call
1999-05-10,45.3605,0.010028924451292776,0.0012714417840800074,0.41972449571723364,45.3605,45.0,30,0.0821917808219178,0.41972449571723364,0.03,call
1999-05-11,46.0702,0.01564577110040677,0.03319578380802857,0.4213870309235122,46.0702,46.0,30,0.0821917808219178,0.4213870309235122,0.03,call
1999-05-12,47.0285,0.02080086476724663,0.023740745658813456,0.40708369289823537,47.0285,47.0,30,0.0821917808219178,0.40708369289823537,0.03,call
1999-05-13,46.1515,-0.01864826647671103,0.04238283455674763,0.4117782374886135,46.1515,46.0,30,0.0821917808219178,0.4117782374886135,0.03,call
1999-05-14,45.2742,-0.01900913296425899,0.008107307710292444,0.40336147726287813,45.2742,45.0,30,0.0821917808219178,0.40336147726287813,0.03,call
1999-05-17,46.0887,0.017990378626237424,0.016053614929288695,0.3632151745186858,46.0887,46.0,30,0.0821917808219178,0.3632151745186858,0.03,call
1999-05-18,45.8959,-0.0041832379737333225,-0.0037833567034656346,0.3582362635514488,45.8959,46.0,30,0.0821917808219178,0.3582362635514488,0.03,call
1999-05-19,46.5253,0.013713643266610065,-0.010699894744676142,0.31804123456259087,46.5253,47.0,30,0.0821917808219178,0.31804123456259087,0.03,call
1999-05-20,45.2381,-0.027666667383122734,-0.01979133939308575,0.3194539854364299,45.2381,45.0,30,0.0821917808219178,0.3194539854364299,0.03,call
1999-05-21,44.8307,-0.009005683262559683,-0.009795866078252113,0.3162212313261959,44.8307,45.0,30,0.0821917808219178,0.3162212313261959,0.03,call
1999-05-24,43.6884,-0.025480307021750637,-0.05208001093543535,0.3119379870398076,43.6884,44.0,30,0.0821917808219178,0.3119379870398076,0.03,call
1999-05-25,42.2562,-0.03278215727744671,-0.07930338004048287,0.3258518633454262,42.2562,42.0,30,0.0821917808219178,0.3258518633454262,0.03,call
1999-05-26,43.438,0.027967493527577103,-0.06635744422926881,0.327455026406883,43.438,43.0,30,0.0821917808219178,0.327455026406883,0.03,call
1999-05-27,43.3918,-0.001063584879598456,-0.04081294307232175,0.32670855271137555,43.3918,43.0,30,0.0821917808219178,0.32670855271137555,0.03,call
1999-05-28,44.1171,0.016715139726860784,-0.015917663565369278,0.3321317466391117,44.1171,44.0,30,0.0821917808219178,0.3321317466391117,0.03,call
1999-06-01,43.1355,-0.02224987589846117,-0.012655533276567765,0.34013346529689054,43.1355,43.0,30,0.0821917808219178,0.34013346529689054,0.03,call
1999-06-02,43.8637,0.01688168677771218,0.03804175481941119,0.34265101403957576,43.8637,44.0,30,0.0821917808219178,0.34265101403957576,0.03,call
1999-06-03,43.2402,-0.01421448714996687,-0.004553616649016989,0.32550652022785054,43.2402,43.0,30,0.0821917808219178,0.32550652022785054,0.03,call
1999-06-04,44.5647,0.03063121817197878,0.02703045275835514,0.3210265138150284,44.5647,45.0,30,0.0821917808219178,0.3210265138150284,0.03,call
1999-06-07,45.4925,0.020819168534736976,0.031176119917220246,0.32551568350734256,45.4925,45.0,30,0.0821917808219178,0.32551568350734256,0.03,call
1999-06-08,44.3473,-0.025173380227510034,0.028092870141762427,0.3361519742877758,44.3473,44.0,30,0.0821917808219178,0.3361519742877758,0.03,call
1999-06-09,45.0904,0.016756375247196642,0.027966177043888152,0.3368999736234222,45.0904,45.0,30,0.0821917808219178,0.3368999736234222,0.03,call
1999-06-10,44.5811,-0.011295087202597531,0.031010494863575877,0.32869387418224916,44.5811,45.0,30,0.0821917808219178,0.32869387418224916,0.03,call
1999-06-11,43.901,-0.015255343632166851,-0.014892953391361319,0.32669278601593016,43.901,44.0,30,0.0821917808219178,0.32669278601593016,0.03,call
1999-06-14,43.0729,-0.018862896061593304,-0.05318678903115903,0.32659395340645386,43.0729,43.0,30,0.0821917808219178,0.32659395340645386,0.03,call
1999-06-15,43.7139,0.014881746991728173,-0.014282718451856025,0.32421168298016395,43.7139,44.0,30,0.0821917808219178,0.32421168298016395,0.03,call
1999-06-16,45.9645,0.05148476800285495,0.019385501126625515,0.3762850015875088,45.9645,46.0,30,0.0821917808219178,0.3762850015875088,0.03,call
1999-06-17,46.4724,0.011049831935515453,0.042423807398202396,0.3751463988183839,46.4724,46.0,30,0.0821917808219178,0.3751463988183839,0.03,call
1999-06-18,46.6799,0.0044650157943209035,0.06329924147513721,0.3605357238514208,46.6799,47.0,30,0.0821917808219178,0.3605357238514208,0.03,call
1999-06-21,48.0828,0.030053620509041368,0.11631211272052733,0.3714824426568808,48.0828,48.0,30,0.0821917808219178,0.3714824426568808,0.03,call
1999-06-22,46.6369,-0.03007104411556738,0.06686660307133407,0.3765983032785394,46.6369,47.0,30,0.0821917808219178,0.3765983032785394,0.03,call
1999-06-23,47.3641,0.015592803123706922,0.03044958609361581,0.3531388307520323,47.3641,47.0,30,0.0821917808219178,0.3531388307520323,0.03,call
1999-06-24,46.4294,-0.019734355767342726,-0.0009252803814737698,0.3542952726187791,46.4294,46.0,30,0.0821917808219178,0.3542952726187791,0.03,call
1999-06-25,46.3679,-0.0013245917457473944,-0.00668381894562764,0.3543417606599979,46.3679,46.0,30,0.0821917808219178,0.3543417606599979,0.03,call
1999-06-28,47.4652,0.023665078642768123,-0.012844509887111277,0.35859778959727084,47.4652,47.0,30,0.0821917808219178,0.35859778959727084,0.03,call
1999-06-29,48.1169,0.013730059074859025,0.03173452780952424,0.3463252168363006,48.1169,48.0,30,0.0821917808219178,0.3463252168363006,0.03,call
1999-06-30,48.8601,0.01544571657775129,0.031585103485551436,0.34574754988020784,48.8601,49.0,30,0.0821917808219178,0.34574754988020784,0.03,call
1999-07-01,49.1891,0.006733510574067569,0.05943863155672924,0.33770135398453266,49.1891,49.0,30,0.0821917808219178,0.33770135398453266,0.03,call
1999-07-02,49.8145,0.012714198877393557,0.07433159578070181,0.32665503296449133,49.8145,50.0,30,0.0821917808219178,0.32665503296449133,0.03,call
1999-07-06,49.4915,-0.0064840558471931375,0.04269022357432384,0.32435617569268405,49.4915,49.0,30,0.0821917808219178,0.32435617569268405,0.03,call
1999-07-07,49.5737,0.0016608912641564721,0.030276264680392906,0.30531281940119603,49.5737,50.0,30,0.0821917808219178,0.30531281940119603,0.03,call
1999-07-08,50.2343,0.013325614186554535,0.028125198270163132,0.30391367118475354,50.2343,50.0,30,0.0821917808219178,0.30391367118475354,0.03,call
1999-07-09,50.7386,0.010038957445410723,0.03150088129280659,0.2975625902939536,50.7386,51.0,30,0.0821917808219178,0.2975625902939536,0.03,call
1999-07-12,50.4744,-0.005207080999475644,0.013247146915054797,0.2897852696470693,50.4744,50.0,30,0.0821917808219178,0.2897852696470693,0.03,call
1999-07-13,50.2343,-0.004756866847352437,0.015008637846902984,0.2770309876302705,50.2343,50.0,30,0.0821917808219178,0.2770309876302705,0.03,call
1999-07-14,51.0942,0.01711778605454839,0.030671505253793807,0.2778946999510996,51.0942,51.0,30,0.0821917808219178,0.2778946999510996,0.03,call
1999-07-15,51.555,0.009018636166140181,0.026290801305084432,0.22568894181853852,51.555,52.0,30,0.0821917808219178,0.22568894181853852,0.03,call
1999-07-16,52.0386,0.009380273494326463,0.025621518922477327,0.22525631738583113,52.0386,52.0,30,0.0821917808219178,0.22525631738583113,0.03,call
1999-07-19,51.5051,-0.010252005242262552,0.020420252642923797,0.23233209555122433,51.5051,52.0,30,0.0821917808219178,0.23233209555122433,0.03,call
1999-07-20,49.517,-0.03860006096483637,-0.014279088192728717,0.2603827590185722,49.517,50.0,30,0.0821917808219178,0.2603827590185722,0.03,call
1999-07-21,49.753,0.0047660399458770986,-0.026249554743982717,0.23199984902695409,49.753,50.0,30,0.0821917808219178,0.23199984902695409,0.03,call
1999-07-22,48.493,-0.02532510602375737,-0.05939288138880805,0.2482382867722548,48.493,48.0,30,0.0821917808219178,0.2482382867722548,0.03,call
1999-07-23,48.5644,0.0014723774565401637,-0.0667619805298375,0.235496609353461,48.5644,49.0,30,0.0821917808219178,0.235496609353461,0.03,call
1999-07-26,47.3729,-0.024534432629662817,-0.08022894820124604,0.2539926140188586,47.3729,47.0,30,0.0821917808219178,0.2539926140188586,0.03,call
