Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
QQQ260311C00500000,3/5/2026 12:45 PM,500,103.40,107.02,110.76,0.00,0.00%,-,1,218.02%
QQQ260311C00525000,3/10/2026 10:47 AM,525,85.47,82.02,85.38,7.64,9.82%,36,36,165.97%
QQQ260311C00550000,3/9/2026 11:07 AM,550,48.34,57.02,60.33,0.00,0.00%,1,2,121.19%
QQQ260311C00555000,3/10/2026 3:56 PM,555,52.11,52.03,55.32,9.06,21.05%,6,4,112.40%
QQQ260311C00560000,3/10/2026 10:52 AM,560,50.59,47.03,50.32,1.91,3.92%,15,1,103.56%
QQQ260311C00562000,3/9/2026 2:49 PM,562,38.26,45.04,48.32,0.00,0.00%,1,1,100.15%
QQQ260311C00563000,3/9/2026 2:49 PM,563,37.38,44.04,47.77,0.00,0.00%,1,1,103.61%
QQQ260311C00564000,3/9/2026 2:50 PM,564,43.60,43.04,46.77,6.80,18.48%,1,2,101.76%
QQQ260311C00565000,3/10/2026 3:05 PM,565,42.66,42.04,45.28,4.93,13.07%,13,24,94.29%
QQQ260311C00570000,3/10/2026 3:38 PM,570,37.63,37.04,40.44,8.14,27.60%,367,4,87.16%
QQQ260311C00571000,3/9/2026 3:52 PM,571,36.44,36.05,39.46,0.00,0.00%,3,3,85.64%
QQQ260311C00572000,3/9/2026 3:37 PM,572,36.00,35.05,38.40,0.00,0.00%,3,3,83.15%
QQQ260311C00573000,3/9/2026 3:46 PM,573,34.00,34.05,37.55,0.00,0.00%,1,0,82.91%
QQQ260311C00575000,3/10/2026 3:28 PM,575,33.39,32.05,35.45,2.59,8.41%,47,22,78.17%
QQQ260311C00577000,3/9/2026 3:33 PM,577,30.83,30.06,33.34,0.00,0.00%,1,1,73.49%
QQQ260311C00578000,3/9/2026 3:33 PM,578,29.99,29.06,32.46,0.00,0.00%,1,1,72.80%
QQQ260311C00579000,3/9/2026 3:37 PM,579,28.77,28.07,31.57,0.00,0.00%,1,1,72.07%
QQQ260311C00580000,3/10/2026 3:21 PM,580,29.50,27.08,30.38,1.75,6.31%,40,199,68.51%
QQQ260311C00581000,3/9/2026 3:37 PM,581,26.74,26.08,29.36,0.00,0.00%,7,6,66.43%
QQQ260311C00582000,3/10/2026 10:23 AM,582,25.87,25.09,28.40,0.21,0.82%,200,7,64.99%
QQQ260311C00583000,3/9/2026 3:33 PM,583,25.14,24.10,27g.39,0.00,0.00%,4,4,63.11%
QQQ260311C00584000,3/10/2026 11:18 AM,584,29.05,23.11,26.62,5.13,21.45%,3,22,63.23%
QQQ260311C00585000,3/10/2026 4:08 PM,585,23.27,22.12,25.43,0.57,2.51%,375,214,59.81%
QQQ260311C00586000,3/10/2026 10:10 AM,586,20.43,21.14,24.42,-1.69,-7.64%,27,12,57.96%
QQQ260311C00587000,3/10/2026 10:12 AM,587,19.83,20.16,23.43,-1.10,-5.26%,82,3,56.25%
QQQ260311C00588000,3/10/2026 3:09 PM,588,21.14,19.18,22.47,5.84,38.17%,7,54,54.74%
QQQ260311C00589000,3/9/2026 10:52 AM,589,11.75,18.21,21.47,0.00,0.00%,63,36,52.98%
QQQ260311C00590000,3/10/2026 4:08 PM,590,18.39,17.24,20.63,-0.84,-4.37%,536,627,52.34%
QQQ260311C00591000,3/10/2026 3:40 PM,591,16.75,16.28,19.66,-0.76,-4.34%,143,333,50.78%
QQQ260311C00592000,3/10/2026 4:08 PM,592,16.57,15.33,18.72,-0.43,-2.53%,24,717,68.99%
QQQ260311C00593000,3/10/2026 4:12 PM,593,16.00,14.38,17.71,-0.54,-3.26%,16,511,66.38%
QQQ260311C00594000,3/10/2026 4:03 PM,594,14.31,13.44,16.78,-0.24,-1.65%,156,654,64.56%
QQQ260311C00595000,3/10/2026 4:10 PM,595,13.74,12.52,15.95,-0.20,-1.43%,131,673,63.67%
QQQ260311C00596000,3/10/2026 3:06 PM,596,13.25,11.60,14.85,-0.81,-5.76%,113,1274,60.08%
QQQ260311C00597000,3/10/2026 3:54 PM,597,11.07,10.70,13.92,-1.22,-9.93%,65,523,58.09%
QQQ260311C00598000,3/10/2026 3:58 PM,598,10.50,9.81,13.28,-0.60,-5.41%,462,869,58.70%
QQQ260311C00599000,3/10/2026 3:57 PM,599,10.02,8.94,11.84,-0.70,-6.53%,233,387,51.92%
QQQ260311C00600000,3/10/2026 4:12 PM,600,9.85,8.97,10.25,0.10,1.03%,593,2907,43.75%
QQQ260311C00601000,3/10/2026 3:47 PM,601,7.95,7.88,10.32,-1.25,-13.59%,735,834,50.49%
QQQ260311C00602000,3/10/2026 4:13 PM,602,8.26,8.18,8.42,-0.02,-0.24%,1409,584,39.71%
QQQ260311C00603000,3/10/2026 4:06 PM,603,7.39,7.40,7.63,-1.11,-13.06%,907,679,38.60%
QQQ260311C00604000,3/10/2026 4:14 PM,604,6.80,6.64,6.87,-0.24,-3.41%,1700,1886,37.54%
QQQ260311C00605000,3/10/2026 4:13 PM,605,6.01,5.91,6.13,-0.35,-5.50%,3163,2576,36.43%
QQQ260311C00606000,3/10/2026 4:14 PM,606,5.21,5.21,5.43,-0.60,-10.33%,4043,815,35.43%
QQQ260311C00607000,3/10/2026 4:14 PM,607,4.64,4.58,4.71,-0.56,-10.77%,7964,1172,34.01%
QQQ260311C00608000,3/10/2026 4:14 PM,608,4.00,3.96,4.07,-0.45,-10.11%,18177,1639,32.96%
QQQ260311C00609000,3/10/2026 4:14 PM,609,3.42,3.33,3.46,-0.50,-12.76%,31993,687,31.84%
QQQ260311C00610000,3/10/2026 4:14 PM,610,2.85,2.75,2.88,-0.65,-18.57%,54862,4948,30.63%
QQQ260311C00611000,3/10/2026 4:14 PM,611,2.29,2.23,2.36,-0.76,-24.92%,40866,1569,29.52%
QQQ260311C00612000,3/10/2026 4:14 PM,612,1.81,1.75,1.87,-0.77,-29.84%,43018,1743,28.24%
QQQ260311C00613000,3/10/2026 4:14 PM,613,1.43,1.33,1.43,-0.64,-30.92%,31720,1015,26.91%
QQQ260311C00614000,3/10/2026 4:14 PM,614,1.04,1.00,1.08,-0.58,-35.80%,21597,1131,25.88%
QQQ260311C00615000,3/10/2026 4:14 PM,615,0.77,0.67,0.77,-0.57,-42.54%,27173,3225,24.66%
QQQ260311C00616000,3/10/2026 4:14 PM,616,0.49,0.44,0.51,-0.59,-54.63%,13270,1264,23.32%
QQQ260311C00617000,3/10/2026 4:14 PM,617,0.30,0.27,0.35,-0.50,-62.50%,20014,995,22.63%
QQQ260311C00618000,3/10/2026 4:14 PM,618,0.17,0.15,0.19,-0.45,-72.58%,18688,1346,21.00%
QQQ260311C00619000,3/10/2026 4:14 PM,619,0.12,0.09,0.12,-0.32,-72.73%,13462,2667,20.56%
QQQ260311C00620000,3/10/2026 4:14 PM,620,0.08,0.05,0.09,-0.24,-75.00%,17100,3560,20.90%
QQQ260311C00621000,3/10/2026 4:14 PM,621,0.06,0.03,0.06,-0.11,-64.71%,6557,4314,20.80%
QQQ260311C00622000,3/10/2026 4:13 PM,622,0.04,0.02,0.04,-0.09,-69.23%,5408,1613,20.70%
QQQ260311C00623000,3/10/2026 4:14 PM,623,0.03,0.02,0.03,-0.05,-62.50%,4647,733,21.09%
QQQ260311C00624000,3/10/2026 4:14 PM,624,0.02,0.02,0.03,-0.02,-50.00%,5520,381,22.27%
QQQ260311C00625000,3/10/2026 4:14 PM,625,0.02,0.00,0.02,0.00,0.00%,6673,906,22.27%
QQQ260311C00626000,3/10/2026 3:57 PM,626,0.01,0.01,0.02,-0.01,-50.00%,1427,2007,23.44%
QQQ260311C00627000,3/10/2026 4:13 PM,627,0.02,0.00,0.02,0.00,0.00%,529,3901,24.61%
QQQ260311C00628000,3/10/2026 4:06 PM,628,0.01,0.01,0.02,0.00,0.00%,747,528,25.78%
QQQ260311C00629000,3/10/2026 4:06 PM,629,0.02,0.00,0.01,0.01,100.00%,3246,303,25.00%
QQQ260311C00630000,3/10/2026 4:10 PM,630,0.02,0.00,0.01,0.01,100.00%,1229,1396,25.78%
QQQ260311C00631000,3/10/2026 3:46 PM,631,0.01,0.00,0.01,0.00,0.00%,522,1079,26.56%
QQQ260311C00632000,3/10/2026 4:06 PM,632,0.01,0.00,0.01,-0.01,-50.00%,40,3698,27.74%
QQQ260311C00633000,3/10/2026 11:42 AM,633,0.01,0.00,0.01,0.00,0.00%,60,512,28.91%
QQQ260311C00634000,3/9/2026 1:54 PM,634,0.01,0.00,0.01,0.00,0.00%,82,241,29.69%
QQQ260311C00635000,3/10/2026 2:43 PM,635,0.01,0.00,0.01,0.00,0.00%,17,1965,30.86%
QQQ260311C00636000,3/9/2026 2:54 PM,636,0.01,0.00,0.01,0.00,0.00%,414,421,32.03%
QQQ260311C00637000,3/10/2026 4:09 PM,637,0.02,0.00,0.01,0.01,100.00%,4,176,32.81%
QQQ260311C00638000,3/9/2026 9:33 AM,638,0.01,0.00,0.01,0.00,0.00%,41,433,33.59%
QQQ260311C00639000,3/6/2026 12:47 PM,639,0.01,0.00,0.01,0.00,0.00%,164,137,34.77%
QQQ260311C00640000,3/10/2026 4:05 PM,640,0.01,0.00,0.01,0.00,0.00%,27,1782,35.94%
QQQ260311C00641000,3/6/2026 10:55 AM,641,0.01,0.00,0.01,0.00,0.00%,164,216,36.72%
QQQ260311C00642000,3/9/2026 10:15 AM,642,0.01,0.00,0.01,0.00,0.00%,1,29,37.50%
QQQ260311C00643000,3/6/2026 12:07 PM,643,0.02,0.00,0.01,0.00,0.00%,7,14,38.28%
QQQ260311C00644000,3/10/2026 4:05 PM,644,0.01,0.00,0.01,0.00,0.00%,9,243,39.84%
QQQ260311C00645000,3/10/2026 4:05 PM,645,0.01,0.00,0.01,0.00,0.00%,57,328,40.63%
QQQ260311C00646000,3/5/2026 2:54 PM,646,0.01,0.00,0.01,0.00,0.00%,-,50,41.41%
QQQ260311C00647000,3/6/2026 9:31 AM,647,0.02,0.00,0.01,0.00,0.00%,1,42,42.19%
QQQ260311C00648000,3/6/2026 10:22 AM,648,0.01,0.00,0.01,0.00,0.00%,5,47,43.75%
QQQ260311C00649000,3/5/2026 11:14 AM,649,0.01,0.00,0.01,0.00,0.00%,410,394,44.53%
QQQ260311C00650000,3/5/2026 12:01 PM,650,0.01,0.00,0.01,0.00,0.00%,435,436,45.31%
QQQ260311C00655000,3/4/2026 11:31 AM,655,0.01,0.00,0.01,-0.02,-66.67%,3,75,50.00%
QQQ260311C00660000,3/10/2026 4:05 PM,660,0.01,0.00,0.01,0.00,0.00%,5,6,51.56%
QQQ260311C00665000,3/10/2026 10:36 AM,665,0.01,0.00,0.01,-0.03,-75.00%,1,1,56.25%
QQQ260311C00670000,2/26/2026 12:53 PM,670,0.02,0.00,0.01,0.00,0.00%,-,2,59.38%
QQQ260311C00675000,3/9/2026 3:30 PM,675,0.01,0.00,0.01,0.00,0.00%,2,2,64.06%
